t,x,y
12.92995556,126.2113881,180.3150775
12.96381111,126.3684974,180.6447026
12.99765556,126.4961251,184.3825204
13.0315,126.72065,190.6126126
13.06535556,127.1186312,198.2527553
13.0992,127.388864,204.6676084
13.13304444,127.8921476,209.1127267
13.1669,128.1247636,210.0909596
13.20074444,128.1521955,207.1149003
13.23458889,128.3039545,201.4901632
13.26844444,128.526003,194.5199489
13.30228889,128.6931902,187.3018861
13.33613333,128.7116114,182.0477273
13.36998889,128.7341527,180.1204662
13.40383333,128.7179147,181.2032372
13.43767778,128.7403345,185.6943035
13.47153333,128.5658169,199.8676993
13.50537778,128.6446468,199.916296
13.53922222,128.2976151,205.829307
13.57307778,127.9605647,209.5649011
13.60692222,127.6837633,205.9065137
13.64076667,127.357012,199.9682657
13.67462222,127.3289509,199.9918074
13.70846667,126.5509864,185.7040248
13.74231111,126.4733106,181.1777228
13.77616667,126.501782,180.0712313
13.81001111,126.4928727,182.0955773
13.84385556,126.6324454,187.3119714
13.87771111,127.0657542,194.4712571
13.91155556,127.3944233,201.4379477
13.9454,127.3524075,201.543339
13.97925556,128.0479414,209.9756658
14.0131,128.1497411,208.8877751
14.04694444,128.2829027,204.5892882
14.0808,128.5625924,198.2128134
14.11464444,128.7719431,190.8622853
14.14848889,128.7946518,184.5481223
14.18234444,128.7787418,180.8115091
14.21618889,128.7779898,180.5480917
14.25003333,128.8061713,183.3069564
14.28388889,128.8152305,189.1901479
14.31773333,128.7434192,196.5128203
14.35157778,128.6909797,203.2508703
14.38543333,128.4790217,208.2258367
14.41927778,128.3778193,210.2778611
14.45312222,128.0753275,208.2226331
14.48697778,127.7251649,203.3162668
14.52082222,127.365442,196.3333345
14.55466667,127.0988014,189.1918733
14.58852222,126.7373813,183.2174046
14.62236667,126.5418771,180.4328725
14.65621111,126.5200026,180.8002912
14.69005556,126.6387061,184.5766421
14.72391111,126.8643194,190.9139719
14.75775556,127.2349976,198.2130351
14.7916,127.421546,204.7092016
14.82545556,127.8534162,209.044379
14.8593,128.0852764,210.0475374
14.89314444,128.1498658,207.1128074
14.927,128.2875498,201.4499051
14.96084444,128.4601004,194.4930249
14.99468889,128.6266742,187.4270026
15.02854444,128.7338759,182.190473
15.06238889,128.7846589,180.3677104
15.09623333,128.7968025,181.4925646
15.13008889,128.8610676,186.0517021
15.16393333,128.847496,192.8121961
15.19777778,128.7755747,200.0050424
15.23163333,128.7199792,206.0264335
15.26547778,128.6307575,209.7552032
15.29932222,128.4797601,209.8672833
